<html><body><pre>
Object   H     G    Epoch    M         Peri.      Node       Incl.        e           n         a                     NObs NOpp   Arc    r.m.s.       Orbit ID
A10a1Gd 17.2  0.15  K18BI  69.56216  194.32962   97.37460    9.08184  0.4574963  0.45822243   1.6662947                  4   1    0 days 0.23         NEOCPNomin
A10a1Gd 16.4  0.15  K18BI 330.03877   88.06504   72.99031   21.37381  0.6614587  0.20975094   2.8054343                  4   1    0 days 0.23         NEOCPV0001
A10a1Gd 16.4  0.15  K18BI 324.09179   89.69596   73.24021   21.12297  0.6229366  0.24138585   2.5546310                  4   1    0 days 0.23         NEOCPV0002
A10a1Gd 16.4  0.15  K18BI 317.71582   91.54260   73.49765   20.87102  0.5855153  0.27242147   2.3567227                  4   1    0 days 0.23         NEOCPV0003
A10a1Gd 16.4  0.15  K18BI 310.89687   93.64083   73.76249   20.61845  0.5493221  0.30256589   2.1974689                  4   1    0 days 0.23         NEOCPV0004
A10a1Gd 16.4  0.15  K18BI 303.61190   96.03225   74.03546   20.36489  0.5145142  0.33157041   2.0673731                  4   1    0 days 0.23         NEOCPV0005
A10a1Gd 16.4  0.15  K18BI 295.83248   98.76270   74.31652   20.11081  0.4812846  0.35920340   1.9599384                  4   1    0 days 0.23         NEOCPV0006
A10a1Gd 16.4  0.15  K18BI 287.51916  101.88680   74.60600   19.85622  0.4498704  0.38528466   1.8704592                  4   1    0 days 0.23         NEOCPV0007
A10a1Gd 16.4  0.15  K18BI 278.63368  105.45768   74.90406   19.60148  0.4205600  0.40962556   1.7956072                  4   1    0 days 0.23         NEOCPV0008
A10a1Gd 16.4  0.15  K18BI 269.13045  109.53317   75.21092   19.34666  0.3936990  0.43209681   1.7328009                  4   1    0 days 0.23         NEOCPV0009
A10a1Gd 16.4  0.15  K18BI 258.97695  114.15811   75.52680   19.09202  0.3696917  0.45256022   1.6801645                  4   1    0 days 0.23         NEOCPV0010
A10a1Gd 16.4  0.15  K18BI 248.15904  119.35792   75.85167   18.83800  0.3489923  0.47090337   1.6362444                  4   1    0 days 0.23         NEOCPV0011
A10a1Gd 16.4  0.15  K18BI 236.69691  125.12133   76.18627   18.58429  0.3320807  0.48703584   1.5999096                  4   1    0 days 0.23         NEOCPV0012
A10a1Gd 16.4  0.15  K18BI 224.66423  131.38358   76.53067   18.33121  0.3194172  0.50087649   1.5702987                  4   1    0 days 0.23         NEOCPV0013
A10a1Gd 16.4  0.15  K18BI 212.19721  138.01535   76.88623   18.07804  0.3113779  0.51235647   1.5467540                  4   1    0 days 0.23         NEOCPV0014
A10a1Gd 16.4  0.15  K18BI 199.49088  144.83014   77.25268   17.82531  0.3081836  0.52141332   1.5287905                  4   1    0 days 0.23         NEOCPV0015
A10a1Gd 16.4  0.15  K18BI 186.76661  151.60920   77.63308   17.57088  0.3098472  0.52801613   1.5160188                  4   1    0 days 0.23         NEOCPV0016
A10a1Gd 16.4  0.15  K18BI 171.08199  159.65864   78.26179   17.13505  0.3161604  0.53301939   1.5065170                  4   1    0 days 0.23         NEOCPV0017
A10a1Gd 16.4  0.15  K18BI 158.97281  165.66841   78.74954   16.82031  0.3267293  0.53407178   1.5045373                  4   1    0 days 0.23         NEOCPV0018
A10a1Gd 16.4  0.15  K18BI 147.40736  171.12511   79.25848   16.50508  0.3410421  0.53257520   1.5073546                  4   1    0 days 0.23         NEOCPV0019
A10a1Gd 16.4  0.15  K18BI 136.43791  175.98290   79.78847   16.19050  0.3585426  0.52851955   1.5150560                  4   1    0 days 0.23         NEOCPV0020
A10a1Gd 16.4  0.15  K18BI 126.07648  180.23772   80.34225   15.87567  0.3786889  0.52193712   1.5277675                  4   1    0 days 0.23         NEOCPV0021
A10a1Gd 16.4  0.15  K18BI 116.30311  183.91817   80.92200   15.56021  0.4009904  0.51287617   1.5457089                  4   1    0 days 0.23         NEOCPV0022
A10a1Gd 16.4  0.15  K18BI 107.06889  187.07907   81.52741   15.24554  0.4250230  0.50134476   1.5693208                  4   1    0 days 0.23         NEOCPV0023
A10a1Gd 16.4  0.15  K18BI  98.33688  189.76689   82.16295   14.93005  0.4504316  0.48744307   1.5990183                  4   1    0 days 0.23         NEOCPV0024
A10a1Gd 16.4  0.15  K18BI  90.05473  192.04064   82.82904   14.61487  0.4769246  0.47121018   1.6355341                  4   1    0 days 0.23         NEOCPV0025
A10a1Gd 16.4  0.15  K18BI  82.18463  193.94686   83.52884   14.29956  0.5042650  0.45274729   1.6797016                  4   1    0 days 0.23         NEOCPV0026
A10a1Gd 16.4  0.15  K18BI  74.69376  195.52726   84.26507   13.98409  0.5322613  0.43216822   1.7326101                  4   1    0 days 0.23         NEOCPV0027
A10a1Gd 16.4  0.15  K18BI  67.54884  196.82277   85.03974   13.66901  0.5607590  0.40956332   1.7957892                  4   1    0 days 0.23         NEOCPV0028
A10a1Gd 16.4  0.15  K18BI  60.73164  197.86092   85.85693   13.35394  0.5896337  0.38509108   1.8710860                  4   1    0 days 0.23         NEOCPV0029
A10a1Gd 16.4  0.15  K18BI  54.22352  198.67070   86.71822   13.03973  0.6187845  0.35889260   1.9610698                  4   1    0 days 0.23         NEOCPV0030
A10a1Gd 16.4  0.15  K18BI  48.01506  199.26919   87.62993   12.72560  0.6481298  0.33115489   2.0691022                  4   1    0 days 0.23         NEOCPV0031
A10a1Gd 16.4  0.15  K18BI  42.09733  199.67890   88.59250   12.41300  0.6776033  0.30205971   2.1999232                  4   1    0 days 0.23         NEOCPV0032
A10a1Gd 16.1  0.15  K18BI 328.42918   94.09602   71.23256   24.15561  0.6749564  0.20681736   2.8319009                  4   1    0 days 0.23         NEOCPV0033
A10a1Gd 16.1  0.15  K18BI 322.17358   95.98860   71.42767   23.91798  0.6387546  0.23801480   2.5786956                  4   1    0 days 0.23         NEOCPV0034
A10a1Gd 16.1  0.15  K18BI 315.47902   98.10000   71.62752   23.67967  0.6038400  0.26862665   2.3788661                  4   1    0 days 0.23         NEOCPV0035
A10a1Gd 16.1  0.15  K18BI 308.33888  100.45897   71.83246   23.44049  0.5703531  0.29836689   2.2180379                  4   1    0 days 0.23         NEOCPV0036
A10a1Gd 16.1  0.15  K18BI 300.74364  103.09534   72.04230   23.20098  0.5384608  0.32697474   2.0866995                  4   1    0 days 0.23         NEOCPV0037
A10a1Gd 16.1  0.15  K18BI 292.67375  106.04563   72.25735   22.96090  0.5083592  0.35425622   1.9781432                  4   1    0 days 0.23         NEOCPV0038
A10a1Gd 16.1  0.15  K18BI 284.11562  109.34009   72.47746   22.72078  0.4802770  0.38000238   1.8877530                  4   1    0 days 0.23         NEOCPV0039
A10a1Gd 16.1  0.15  K18BI 275.05224  113.00968   72.70291   22.48048  0.4544764  0.40405483   1.8120737                  4   1    0 days 0.23         NEOCPV0040
A10a1Gd 16.1  0.15  K18BI 265.47556  117.07605   72.93372   22.24027  0.4312508  0.42626145   1.7485794                  4   1    0 days 0.23         NEOCPV0041
A10a1Gd 16.1  0.15  K18BI 255.38644  121.54955   73.17013   22.00007  0.4109174  0.44650377   1.6953237                  4   1    0 days 0.23         NEOCPV0042
A10a1Gd 16.1  0.15  K18BI 244.80951  126.41754   73.41212   21.76019  0.3938015  0.46465987   1.6508690                  4   1    0 days 0.23         NEOCPV0043
A10a1Gd 16.1  0.15  K18BI 233.78972  131.64320   73.66039   21.52001  0.3802132  0.48064740   1.6140550                  4   1    0 days 0.23         NEOCPV0044
A10a1Gd 16.1  0.15  K18BI 222.40575  137.15643   73.91556   21.27908  0.3704153  0.49438318   1.5840185                  4   1    0 days 0.23         NEOCPV0045
A10a1Gd 16.1  0.15  K18BI 210.76795  142.85581   74.17830   21.03702  0.3645883  0.50579021   1.5601120                  4   1    0 days 0.23         NEOCPV0046
A10a1Gd 16.1  0.15  K18BI 199.00603  148.61882   74.44950   20.79311  0.3628006  0.51481377   1.5418281                  4   1    0 days 0.23         NEOCPV0047
A10a1Gd 16.1  0.15  K18BI 187.26036  154.31291   74.73058   20.54626  0.3649913  0.52140269   1.5288113                  4   1    0 days 0.23         NEOCPV0048
A10a1Gd 16.1  0.15  K18BI 172.36147  161.25789   75.23296   20.08672  0.3709746  0.52650543   1.5189174                  4   1    0 days 0.23         NEOCPV0049
A10a1Gd 16.1  0.15  K18BI 161.05294  166.38333   75.59985   19.77258  0.3804613  0.52750994   1.5169885                  4   1    0 days 0.23         NEOCPV0050
A10a1Gd 16.1  0.15  K18BI 150.11684  171.13364   75.98072   19.45725  0.3930934  0.52598759   1.5199141                  4   1    0 days 0.23         NEOCPV0051
A10a1Gd 16.1  0.15  K18BI 139.59825  175.47168   76.37570   19.14139  0.4084808  0.52193808   1.5277656                  4   1    0 days 0.23         NEOCPV0052
A10a1Gd 16.1  0.15  K18BI 129.52117  179.38322   76.78638   18.82430  0.4262334  0.51539405   1.5406706                  4   1    0 days 0.23         NEOCPV0053
A10a1Gd 16.1  0.15  K18BI 119.88582  182.87694   77.21340   18.50625  0.4459826  0.50638794   1.5588840                  4   1    0 days 0.23         NEOCPV0054
A10a1Gd 16.1  0.15  K18BI 110.67853  185.97479   77.65788   18.18721  0.4673954  0.49496081   1.5827859                  4   1    0 days 0.23         NEOCPV0055
A10a1Gd 16.1  0.15  K18BI 101.88019  188.70543   78.12080   17.86726  0.4901793  0.48117327   1.6128788                  4   1    0 days 0.23         NEOCPV0056
A10a1Gd 16.1  0.15  K18BI  93.46815  191.10041   78.60371   17.54618  0.5140826  0.46509575   1.6498374                  4   1    0 days 0.23         NEOCPV0057
A10a1Gd 16.1  0.15  K18BI  85.42327  193.18950   79.10828   17.22369  0.5388920  0.44682966   1.6944993                  4   1    0 days 0.23         NEOCPV0058
A10a1Gd 16.1  0.15  K18BI  77.72115  195.00617   79.63481   16.90064  0.5644279  0.42645428   1.7480522                  4   1    0 days 0.23         NEOCPV0059
